Company_name,Post,Opening_date,Closing_date,Job_link:- http://topjobs.lk/applicant/vacancybyfunctionalarea.jsp?FA=AGD
SF Agro Services (Pvt) Ltd ,Field Officer - Agriculture  , Mon Oct 17 2022, Mon Oct 31 2022,
Berendina Micro Investments Company,Branch Managers (Kurunegala District) , Mon Oct 17 2022, Mon Oct 31 2022,
JKH Transportation Sector,Food Science Internship (1), Mon Oct 17 2022, Mon Oct 31 2022,
IESC,Extension Specialist , Mon Oct 17 2022, Mon Oct 31 2022,
IESC,Regional Field Officer - Kurunegala  , Mon Oct 17 2022, Mon Oct 31 2022,
IESC,Regional Field Officer - Nuwara Eliya  , Mon Oct 17 2022, Mon Oct 31 2022,
IESC,Regional Field Officer , Mon Oct 17 2022, Mon Oct 31 2022,
IESC,Regional Field Officer , Mon Oct 17 2022, Mon Oct 31 2022,
IESC,Input Specialist , Mon Oct 17 2022, Mon Oct 31 2022,
Pelwatte Dairy Industries,Manager - Dairy Development  , Mon Oct 17 2022, Mon Oct 31 2022,
Wayamba Diagnostic Medical Laboratory (Pvt) Ltd,Agriculture Specialist  , Mon Oct 17 2022, Mon Oct 31 2022,
A. Baur & Co. (Pvt) Ltd,Executive (Agriculture - Anuradhapura Branch) , Mon Oct 17 2022, Mon Oct 31 2022,
Comapany Name Withheld,Field Officer in Charge , Mon Oct 17 2022, Mon Oct 31 2022,
World Vision,"Technical Specialist - Economic & Agriculture Development (Grants, National Resource Development & Private Non-Sponsorship Projects) ", Mon Oct 17 2022, Mon Oct 31 2022,
BLUESTEPS,Assistant Manager - Business Development (Export Market for Organic Food & Beverage Products) (1), Mon Oct 17 2022, Mon Oct 31 2022,
BLUESTEPS,Assistant Manager - Business Development (Export Market for Organic Food & Beverage Products) (1), Mon Oct 17 2022, Mon Oct 31 2022,
Comapany Name Withheld,Supervisor - Birds Breeding  , Mon Oct 17 2022, Mon Oct 31 2022,
Adamjee Lukmanjee Group of Companies,Manager Agri Business , Mon Oct 17 2022, Mon Oct 31 2022,
Berendina Micro Investments Company,Sales and Marketing Officer  (Head Office) , Mon Oct 17 2022, Mon Oct 31 2022,
